recommendation,score,tier,company,title,location,sites,posted,job_url,query_labels,reasons
apply_first,15,A,Intrinsic,AFSIM Modeling and Simulation Engineer,,linkedin,nan,https://www.linkedin.com/jobs/view/4392118162,"modeling and simulation engineer, simulation engineer","modeling, simulation"
apply_first,14,A,"Mission Technologies, a division of HII",Software Developer (Real‑Time Simulation & Dev Lab) (Engineer Software 3) - 27824,"Nellis AFB, NV",linkedin,2026-03-19,https://www.linkedin.com/jobs/view/4387759536,modeling and simulation engineer,"developer, simulation, software"
apply_first,14,A,PSC Consulting,"Senior Consultant I, Control Systems (E-Terra)","Remote, US",indeed,2026-03-25,https://www.indeed.com/viewjob?jk=1a9aa87fccf53fa1,"modeling and simulation engineer, real time software engineer, simulation engineer, simulation software engineer","distributed, modeling, performance, remote, senior, simulation, systems"
apply_first,12,A,Auria,RF Simulation SW Engineer,"Remote, US",indeed,2026-03-26,https://www.indeed.com/viewjob?jk=7e62b4c39d80a80a,simulation software engineer,"remote, simulation"
apply_first,12,A,Crossing Hurdles,Circuit Simulation Engineer (Ngspice) | Remote,,linkedin,2026-03-20,https://www.linkedin.com/jobs/view/4388371065,simulation engineer,"remote, simulation"
apply_first,12,A,Crossing Hurdles,Circuit Simulation Engineer (Qucs-S) | Remote,,linkedin,2026-03-19,https://www.linkedin.com/jobs/view/4387333048,simulation engineer,"remote, simulation"
apply_first,12,A,Crossing Hurdles,Circuit Simulation Engineer (Qucs-S) | Remote,,linkedin,2026-03-19,https://www.linkedin.com/jobs/view/4387324994,simulation engineer,"remote, simulation"
apply_first,12,A,Figma,"Software Engineer, Distributed Systems","San Francisco, CA",linkedin,2026-03-29,https://www.linkedin.com/jobs/view/4239977995,real time software engineer,"distributed, software, systems"
apply_first,12,A,Ford Motor Company,Ford Racing Performance Engineering Technical Specialist,"Allen Park, MI, US",indeed,2026-03-29,https://www.indeed.com/viewjob?jk=6eaa886364dfbed1,simulation software engineer,"concurrency, performance, simulation"
apply_first,12,A,Ford Motor Company,Simulation Research Engineer,"Dearborn, MI, US",indeed,2026-03-30,https://www.indeed.com/viewjob?jk=9ea9103501fa20cc,"modeling and simulation engineer, simulation engineer, simulation software engineer","modeling, simulation"
